epoch,elapsed,loss,acc,val_loss,val_acc
0,14.33853006362915,0.318999718062,0.903283333365,0.0799228447169,0.9741
1,10.25374722480774,0.112860362148,0.966733333333,0.0545419525784,0.983
2,10.278593063354492,0.0867690413949,0.974466666667,0.0439922938076,0.9854
3,10.249748706817627,0.0727722931723,0.978850000032,0.0384584726462,0.9864
4,10.217265129089355,0.0624811488201,0.981650000032,0.0353912577679,0.9882
5,10.238013505935669,0.0557192857454,0.98335,0.0313897364609,0.989
6,10.267149686813354,0.0498232080559,0.984966666698,0.030046488423,0.9896
7,10.25477910041809,0.0474873056374,0.985883333333,0.0328061588176,0.9879
8,10.24793028831482,0.0425496220142,0.986916666667,0.0283576204002,0.9904
9,10.248278617858887,0.0412964944765,0.987550000032,0.0284979452356,0.9899
10,10.234640121459961,0.0396277332127,0.988216666635,0.0275873248218,0.9899
11,10.236209869384766,0.0378949421619,0.988816666667,0.0273343891541,0.9906
